x	y	part
635086	147993	VS
635206	148018	VS
635320	148068	VS
635490	148153	VS
635660	148234	VS
635840	148314	VS
636055	148439	VS
636180	148424	VS
636300	148410	VS
636360	148500	VS
636429	148665	VS
636494	148805	VS
636753	149125	VS
636823	149150	VS
636958	149216	VS
637118	149326	VS
637208	149436	VS
637263	149486	VS
637392	149571	VS
637527	149637	VS
637672	149702	VS
637767	149737	VS
637907	149772	VS
637912	149932	VS
637932	150047	VS
638001	150172	VS
638146	150302	VS
638316	150448	VS
638515	150628	VS
638725	150793	VS
638915	150799	VS
639120	150819	VS
639365	150974	VS
639625	151065	VS
639879	151130	VS
640144	151241	VS
640444	151376	VS
640709	151552	VS
640828	151637	VS
640818	151932	VS
640857	152257	VS
641006	152537	VS
640856	152752	VS
640761	152901	VS
640645	153091	VS
640585	153326	VS
640614	153551	VS
640419	153741	VS
640328	153890	VS
640268	154010	VS
640258	154160	VS
640242	154260	VS
640367	154370	VS
640482	154516	VS
640582	154676	VS
640676	154831	VS
640816	154991	VS
641061	155101	VS
641256	155197	VS
641326	155207	VS
641561	155227	VS
641711	155233	VS
642046	155268	VS
642245	155478	VS
642380	155719	VS
642444	155904	VS
642529	156079	VS
642628	156274	VS
642703	156384	VS
642773	156499	VS
642923	156479	VS
643038	156465	VS
643263	156515	VS
643503	156605	VS
643722	156771	VS
643927	156931	VS
644207	157037	VS
644492	157072	VS
644787	157038	VS
645127	156998	VS
645427	156929	VS
645573	156904	VS
645788	156634	VS
646113	156530	VS
646434	156451	VS
646609	156406	VS
646924	156352	VS
647204	156242	VS
647359	156187	VS
647504	156223	VS
647639	156233	VS
647905	156203	VS
648210	156164	VS
648335	156164	VS
648540	156170	VS
648640	156175	VS
648855	156210	VS
649085	156086	VS
649335	155891	VS
649446	155791	VS
649651	155717	VS
649811	155717	VS
649996	155752	VS
650131	155752	VS
650361	155583	VS
650527	155483	VS
650847	155404	VS
651017	155429	VS
651282	155390	VS
651437	155340	VS
651642	155285	VS
651792	155286	VS
651937	155276	VS
652113	155046	VS
652329	154737	VS
652414	154592	VS
652635	154307	VS
652830	154128	VS
653135	154103	VS
653540	154029	VS
653856	153915	VS
654061	153830	VS
654386	153691	VS
654960	153534	VS
655059	153556	VS
655164	153579	VS
655234	153590	VS
655334	153607	VS
655493	153641	VS
655618	153644	VS
655753	153647	VS
655828	153663	VS
656033	153683	VS
656243	153657	VS
656319	153649	VS
656434	153657	VS
656509	153658	VS
656487	153483	VS
656446	153317	VS
656409	153201	VS
656387	153060	VS
656424	152946	VS
656477	152832	VS
