x	y
679440	274350
679570	274397
679685	274450
679860	274520
679950	274532
680032	274610
680192	274625
680242	274602
680417	274645
680335	274725
680465	274760
680457	274800
680417	274800
680392	274897
680407	275147
680342	275345
680552	275292
680605	275287
680775	275290
680840	275317
680870	275322
680925	275302
680915	275432
680860	275437
680747	275472
680742	275545
680797	275677
680837	275625
680930	275715
680912	275760
680897	275777
680892	275817
680897	275845
680972	275872
680945	275935
680912	275965
680890	276050
680915	276185
680955	276195
680972	276220
681017	276265
680970	276315
680967	276360
680970	276382
680947	276457
681000	276495
681085	276522
681145	276527
681207	276525
681257	276517
681297	276517
681345	276530
681362	276497
681387	276467
681417	276417
681575	276327
681625	276302
681667	276270
681695	276240
681832	276247
681877	276257
681915	276260
682032	276245
682067	276275
682157	276267
682232	276222
682270	276212
682335	276205
682385	276207
682420	276200
682495	276167
682557	276170
682642	276190
682702	276167
682730	275870
682685	275650
682902	275707
682967	275720
683005	275740
683062	275612
683115	275530
683210	275537
683277	275552
683337	275557
683367	275555
683420	275532
683450	275540
683540	275537
683577	275550
683630	275537
683745	275497
683802	275500
683837	275497
683892	275482
683930	275487
684047	275482
684132	275465
684160	275427
684177	275390
684247	275170
684265	275140
684290	275098
684304	275100
684398	275063
684378	274987
684404	274953
684450	274892
684459	274803
684492	274709
684522	274602
684587	274617
684747	274640
684882	274640
685005	274671
685035	274628
685061	274555
685077	274529
685086	274512
685107	274456
685088	274428
685073	274419
685075	274400
685070	274384
685081	274340
685100	274318
685121	274320
685175	274313
685179	274282
685156	274269
685132	274265
685157	274142
685282	274140
685401	274129
685403	274095
685387	274059
685272	273969
685181	273970
685065	273962
684982	273927
684863	273870
684794	273852
684795	273761
684801	273696
684807	273668
684812	273651
684802	273430
684780	273372
684775	273332
684702	273247
684667	273167
684619	273070
684498	272952
684452	272895
684497	272783
684562	272687
684627	272585
684762	272485
684835	272445
684900	272492
684995	272525
685067	272555
685162	272550
685242	272525
685362	272392
685437	272282
685482	272290
685582	272375
685617	272407
685662	272415
685740	272392
686035	272342
686085	272452
686157	272752
686227	272802
686285	272882
686415	272970
686512	272955
686590	272920
686617	272975
686670	273035
686665	273102
686697	273195
686725	273257
686770	273465
686870	273445
687005	273410
687026	273447
687044	273476
687056	273493
687075	273513
687100	273535
687137	273565
687198	273612
687254	273656
687273	273674
687301	273702
687554	273980
687577	274010
687617	274077
687662	274198
687688	274295
687700	274362
687704	274435
687704	274467
687703	274489
687697	274570
687689	274623
687677	274669
687663	274713
687651	274743
687628	274790
687615	274813
687533	274946
687430	275114
687399	275172
687366	275244
687331	275311
687284	275408
687252	275480
687220	275560
687184	275669
687152	275794
687137	275866
687123	275932
687106	276001
687087	276078
687072	276134
687060	276210
687052	276275
687041	276439
687040	276505
687042	276646
687042	276681
687037	276760
687032	276802
687022	276871
686977	277038
686932	277184
686928	277227
686917	277329
686916	277368
686919	277411
686923	277458
686928	277515
686939	277560
686968	277613
687007	277648
687044	277678
687069	277696
687103	277717
687130	277730
687167	277745
687232	277778
687269	277800
687357	277861
687364	277869
687380	277892
687426	277964
687442	277994
687457	278031
687468	278073
687476	278111
687485	278170
687493	278226
687504	278290
687520	278347
687537	278397
687570	278471
687600	278519
687651	278585
687668	278604
687705	278629
687730	278637
687756	278641
687796	278640
687821	278630
687853	278617
687999	278543
688054	278501
688105	278450
688140	278415
688192	278341
688212	278307
688233	278264
688251	278229
688278	278153
688295	278085
688302	278068
688320	277977
688329	277908
688331	277864
688330	277829
688319	277758
688307	277706
688295	277669
688272	277633
688235	277582
688191	277526
688138	277487
688105	277473
688044	277446
688001	277435
687944	277423
687884	277415
687825	277412
687789	277414
687693	277425
687655	277419
687592	277394
687572	277383
687558	277368
687514	277316
687497	277285
687483	277245
687483	277213
687492	277186
687533	277099
687577	277037
687632	276986
687692	276949
687737	276931
687785	276920
687878	276916
687967	276923
688148	276948
688397	276990
688481	277010
688569	277042
688735	277110
688751	277118
688780	277138
688898	277233
689001	277336
689078	277445
689150	277577
689283	277949
689318	278062
689326	278084
689381	278200
689409	278268
689420	278309
689422	278336
689430	278475
689432	278534
689428	278586
689411	278642
689385	278695
689356	278753
689320	278806
689246	278886
689139	278998
689052	279084
688972	279164
688863	279276
688723	279397
688666	279441
