river_nr	x	y	river
1	554635	189217	rhine
1	554630	189230	rhine
1	554596	189265	rhine
1	554569	189304	rhine
1	554562	189326	rhine
1	554562	189342	rhine
1	554565	189349	rhine
1	554573	189360	rhine
1	554587	189371	rhine
1	554606	189380	rhine
1	554626	189390	rhine
1	554634	189400	rhine
1	554651	189425	rhine
1	554666	189435	rhine
1	554676	189441	rhine
1	554683	189445	rhine
1	554689	189454	rhine
1	554706	189489	rhine
1	554743	189555	rhine
1	554772	189593	rhine
1	554784	189610	rhine
1	554789	189617	rhine
1	554794	189623	rhine
1	554796	189626	rhine
1	554805	189638	rhine
1	554822	189655	rhine
1	554867	189679	rhine
1	554891	189706	rhine
1	554900	189712	rhine
1	554907	189715	rhine
1	554916	189712	rhine
1	554929	189705	rhine
1	554945	189688	rhine
1	554971	189678	rhine
1	554993	189673	rhine
1	555002	189675	rhine
1	555040	189690	rhine
1	555049	189685	rhine
1	555060	189690	rhine
1	555080	189702	rhine
1	555088	189708	rhine
1	555100	189717	rhine
1	555119	189738	rhine
1	555155	189783	rhine
1	555167	189813	rhine
1	555173	189831	rhine
1	555183	189860	rhine
1	555190	189873	rhine
1	555195	189877	rhine
1	555215	189896	rhine
1	555222	189898	rhine
1	555229	189900	rhine
1	555259	189897	rhine
1	555271	189899	rhine
1	555288	189906	rhine
1	555299	189913	rhine
1	555331	189940	rhine
1	555340	189942	rhine
1	555375	189930	rhine
1	555389	189931	rhine
1	555393	189932	rhine
1	555409	189936	rhine
1	555420	189934	rhine
1	555427	189929	rhine
1	555431	189918	rhine
1	555428	189894	rhine
1	555434	189855	rhine
1	555437	189850	rhine
1	555440	189845	rhine
1	555453	189829	rhine
1	555461	189818	rhine
1	555473	189791	rhine
1	555474	189777	rhine
1	555494	189762	rhine
1	555503	189749	rhine
1	555505	189738	rhine
1	555504	189731	rhine
1	555498	189722	rhine
1	555470	189697	rhine
1	555471	189693	rhine
1	555477	189692	rhine
1	555487	189701	rhine
1	555540	189744	rhine
1	555551	189752	rhine
1	555566	189766	rhine
1	555566	189773	rhine
1	555565	189777	rhine
1	555558	189782	rhine
1	555552	189781	rhine
