#######river number and name
#1 Orbe
#2 Talent
#3 Mentue
#4 Areuse
#5 
#6 
#7 Broye
#8 Suze
#9 La jogne
#10 Sarine
#11 Glane
#12 Aare
#13 Guerbe
#14 Simme
#15 Kander
#16 Aare
#17 Luetschine
#18 Schwarze Luetschine
#19 Aare
#20 Rhein
#21 Rhein
#22 Vorderrhein
#23 Sense
#24 Landquart
#25 Birs
#26 La Sorne
#27 Scheulte
#28 Ergolz
#29 Sissle
#30 Aare
#31 Langete
#32 Wigger
#33 Suhr
#34 Aa
#35 Grosse Emme
#36 Ilfis
#37 Kleine Emme
#38 Sitter
#39 Entlen
#40 Reuss
#41 Sarner Aa
#42 Aa
#43 Reuss
#44 Schaechen
#45 Muota
#46 Sihl
#47 Glatt
#48 Limmat
#49 Thur
#50 Murg
#51 Toess
#52 Linth
#53 Waegitaler Aa
#54 Linth
#55 Sernf
#56 Hinterrhein
#57 Landwasser
#58 Albula
#59 Ragn da Ferrera
#60 Vispa
#61 Drance
#62 La Borgne
#63 La Liene
#64 La Vieze
#65 Grande Eau
#66 Venoge
#67 Rhone
#68 Rhone
#69 Doubs
#70 Ticino
#71 Moesa
#72 Diveria
#73 Cassarate
#74 Maggia
#75 Mera
#76 Poschiavino
#77 Flaz
#78 Spoel
#79 En
#80 Breggia			
#81 Faloppia			
#82 Etsch			
#83 Etsch			
#############################			
river_nr	x	y	river
1	528031	175552	rhine
1	528038	175539	rhine
1	528043	175530	rhine
1	528056	175521	rhine
1	528106	175508	rhine
1	528138	175496	rhine
1	528169	175485	rhine
1	528189	175481	rhine
1	528224	175477	rhine
1	528239	175479	rhine
1	528262	175495	rhine
1	528280	175504	rhine
1	528301	175519	rhine
1	528327	175522	rhine
1	528346	175528	rhine
1	528365	175529	rhine
1	528375	175528	rhine
1	528391	175526	rhine
1	528411	175515	rhine
1	528424	175510	rhine
1	528444	175501	rhine
1	528460	175491	rhine
1	528473	175477	rhine
1	528504	175460	rhine
1	528511	175457	rhine
1	528539	175436	rhine
1	528569	175419	rhine
1	528588	175419	rhine
1	528629	175427	rhine
1	528652	175440	rhine
1	528703	175459	rhine
1	528727	175475	rhine
1	528762	175503	rhine
1	528783	175523	rhine
1	528802	175532	rhine
1	528827	175539	rhine
1	528856	175554	rhine
1	528886	175559	rhine
1	528926	175559	rhine
1	528953	175556	rhine
1	528990	175545	rhine
1	529028	175530	rhine
1	529058	175519	rhine
1	529087	175512	rhine
1	529117	175510	rhine
1	529146	175518	rhine
1	529190	175528	rhine
1	529234	175524	rhine
1	529259	175516	rhine
1	529294	175497	rhine
1	529319	175478	rhine
1	529352	175454	rhine
1	529366	175440	rhine
1	529374	175431	rhine
1	529380	175415	rhine
1	529382	175413	rhine
1	529387	175409	rhine
1	529402	175401	rhine
1	529421	175396	rhine
1	529445	175393	rhine
1	529461	175399	rhine
1	529488	175412	rhine
1	529504	175420	rhine
1	529509	175423	rhine
1	529531	175445	rhine
1	529578	175461	rhine
1	529620	175473	rhine
1	529691	175499	rhine
1	529764	175528	rhine
1	529784	175545	rhine
1	529816	175575	rhine
1	529834	175592	rhine
1	529866	175606	rhine
1	529897	175612	rhine
1	529923	175612	rhine
1	529947	175608	rhine
1	529955	175606	rhine
1	529981	175598	rhine
1	530009	175592	rhine
1	530041	175590	rhine
1	530086	175590	rhine
1	530115	175597	rhine
1	530144	175603	rhine
1	530171	175604	rhine
1	530250	175607	rhine
1	530281	175614	rhine
1	530307	175623	rhine
1	530363	175669	rhine
1	530400	175705	rhine
1	530422	175724	rhine
1	530449	175739	rhine
1	530471	175745	rhine
1	530493	175744	rhine
1	530514	175733	rhine
1	530531	175715	rhine
1	530547	175693	rhine
1	530574	175640	rhine
1	530586	175615	rhine
1	530595	175588	rhine
1	530597	175564	rhine
1	530592	175549	rhine
1	530583	175527	rhine
1	530571	175501	rhine
1	530555	175480	rhine
1	530528	175457	rhine
1	530522	175446	rhine
1	530511	175403	rhine
1	530494	175360	rhine
1	530476	175325	rhine
1	530459	175289	rhine
1	530444	175262	rhine
1	530440	175249	rhine
1	530435	175231	rhine
1	530432	175214	rhine
1	530434	175193	rhine
1	530442	175177	rhine
1	530454	175158	rhine
1	530457	175147	rhine
1	530457	175108	rhine
1	530458	175087	rhine
1	530460	175083	rhine
1	530462	175079	rhine
1	530469	175076	rhine
1	530479	175077	rhine
1	530491	175070	rhine
1	530508	175054	rhine
1	530511	175044	rhine
1	530517	175017	rhine
1	530528	175000	rhine
1	530533	174995	rhine
1	530547	174982	rhine
1	530569	174960	rhine
1	530582	174939	rhine
1	530592	174925	rhine
1	530601	174899	rhine
1	530614	174874	rhine
1	530628	174846	rhine
1	530633	174835	rhine
1	530645	174814	rhine
1	530653	174805	rhine
1	530660	174803	rhine
1	530669	174806	rhine
1	530690	174811	rhine
1	530710	174814	rhine
1	530734	174821	rhine
1	530759	174822	rhine
1	530811	174843	rhine
1	530839	174858	rhine
1	530866	174877	rhine
1	530880	174897	rhine
1	530936	174955	rhine
1	530971	174984	rhine
1	531013	175007	rhine
1	531080	175045	rhine
1	531176	175124	rhine
1	531284	175217	rhine
1	531345	175281	rhine
1	531396	175340	rhine
1	531441	175397	rhine
1	531464	175429	rhine
1	531487	175457	rhine
1	531500	175468	rhine
1	531580	175541	rhine
1	531676	175628	rhine
1	531696	175647	rhine
1	531777	175713	rhine
1	531919	175828	rhine
1	531974	175872	rhine
1	532078	175950	rhine
1	532181	176027	rhine
1	532329	176139	rhine
1	532448	176228	rhine
1	532490	176260	rhine
1	532500	176265	rhine
1	532534	176289	rhine
1	532586	176321	rhine
1	532713	176389	rhine
1	532783	176429	rhine
1	532860	176479	rhine
1	533000	176572	rhine
1	533023	176587	rhine
1	533100	176640	rhine
1	533111	176647	rhine
1	533433	176864	rhine
1	533500	176909	rhine
1	533806	177115	rhine
1	534132	177333	rhine
1	534455	177551	rhine
1	534777	177765	rhine
1	535064	177958	rhine
1	535380	178170	rhine
1	535669	178364	rhine
1	535749	178423	rhine
1	535866	178518	rhine
1	535990	178628	rhine
1	536130	178758	rhine
1	536399	179007	rhine
1	536687	179273	rhine
1	536874	179446	rhine
1	537336	179876	rhine
1	537710	180218	rhine
1	537736	180242	rhine
1	538119	180594	rhine
1	538324	180782	rhine
1	538349	180805	rhine
1	538546	181000	rhine
1	538564	181019	rhine
1	538647	181112	rhine
1	538655	181132	rhine
1	538668	181211	rhine
1	538675	181233	rhine
1	538687	181248	rhine
1	538812	181317	rhine
1	538825	181330	rhine
1	538835	181349	rhine
1	538840	181377	rhine
1	538840	181406	rhine
1	538823	181500	rhine
1	538820	181514	rhine
1	538780	181638	rhine
1	538762	181725	rhine
1	538759	181792	rhine
1	538767	181841	rhine
1	538786	181887	rhine
1	538827	181934	rhine
1	538908	182000	rhine
1	538967	182040	rhine
1	539018	182080	rhine
1	539082	182132	rhine
1	539122	182164	rhine
1	539202	182228	rhine
1	539232	182252	rhine
1	539265	182279	rhine
1	539321	182325	rhine
1	539342	182341	rhine
1	539409	182394	rhine
2	539600	160502	rhine
2	539572	160511	rhine
2	539558	160517	rhine
2	539537	160533	rhine
2	539523	160547	rhine
2	539514	160550	rhine
2	539505	160549	rhine
2	539503	160549	rhine
2	539494	160541	rhine
2	539490	160526	rhine
2	539487	160506	rhine
2	539483	160495	rhine
2	539480	160483	rhine
2	539480	160467	rhine
2	539482	160457	rhine
2	539479	160446	rhine
2	539471	160442	rhine
2	539459	160441	rhine
