FID,FID_1,locality,xkoord,ykoord,OBJECTID_1,OBJECTID,EZGNR,TEILEZGNR,GWLNR,MEASURE,GEWISSNR,CH,SEE,H1,H2,KANAL,FLUSSGB,RELEASE,MUTATION,HIERARCHIE,INTERNS,POLY_ID,tezgnr40,tezgnr150,tezgnr1000,Shape_Leng,Shape_Le_1,Shape_Area
167,100,"746,171","747,000","171,678","6,646","6,646","139,737","39,737",CH0004200000,"6,195",420,1,0,"34,700.000000000000000","34,701.000000000000000",0,10,"2,012","2,010",28329,1.000000000000000,"83,514","106,322","120,963","130,629","8,083.567956969999600","8,083.567956969999600","2,400,817.747860000000000"
168,205,"752,171","752,867","172,000","6,648","6,648","113,183","13,183",CH0033250000,0,"3,325",1,0,"34,670.000000000000000","34,671.000000000000000",0,10,"2,012","2,010",283212,1.000000000000000,"38,082","106,322","120,963","130,629","7,152.172352560000000","7,152.172352560000000","1,574,507.305750000100000"
169,74,"686,171","686,000","171,624","6,707","6,707","150,566","50,566",CH0044050000,"2,752","4,405",1,0,"15,020.000000000000000","15,025.000000000000000",0,30,"2,012","2,010",24697923,1.000000000000000,"54,809","109,798","120,498","130,593","2,163.952069500000100","2,163.952069500000100","199,162.478049000000000"
170,109,"776,171","776,492","171,000","6,749","6,749","171,683","71,683",CH5221090000,0,"522,109",1,0,"34,495.000000000000000","34,496.000000000000000",0,10,"2,012","2,010",282744,1.000000000000000,"43,225","101,820","120,021","130,308","6,594.356722000000400","6,594.356722000000400","2,311,178.391619999900000"
171,16,"707,166","707,793","166,000","6,770","6,770","162,523","62,523",CH0005750000,"7,606",575,1,0,"36,735.000000000000000","36,834.000000000000000",0,10,"2,012","2,010",29851,1.000000000000000,"75,413","108,110","120,504","130,577","8,716.400705509999200","8,716.400705509999200","2,711,612.133500000000000"
172,106,"764,163","764,000","163,171","6,902","6,902","169,641","69,641",CH0002890000,"7,104",289,1,0,"33,795.000000000000000","34,104.000000000000000",0,10,"2,012","2,010",282435,1.000000000000000,"80,638","101,636","120,822","130,308","10,304.020860900000000","10,304.020860900000000","3,436,073.110580000100000"
173,313,"746,163","746,000","163,612","6,978","6,978","172,830","72,830",CH5244700000,0,"524,470",1,0,"34,771.000000000000000","34,772.000000000000000",0,10,"2,012","2,010",28462,1.000000000000000,"63,451","100,011","120,963","130,629","6,129.555371049999800","6,129.555371049999800","1,638,929.533319999900000"
174,199,"740,163","740,000","163,573","7,019","7,019","152,305","52,305",CH0034120000,735,"3,412",1,0,"35,568.000000000000000","35,569.000000000000000",0,10,"2,012","2,010",292943,1.000000000000000,"87,269","104,290","120,076","130,577","7,188.224779350000100","7,188.224779350000100","1,940,268.210340000000000"
175,114,"794,163","794,000","163,314","7,048","7,048","105,440","5,440",CH0054090000,0,"5,409",1,0,"1,106.000000000000000","1,115.000000000000000",0,80,"2,012","2,012",85581,1.000000000000000,"9,025","103,402","120,297","130,379","4,208.176999889999900","4,208.176999889999900","373,536.134229000020000"
176,416,"722,163","722,694","164,000","7,188","7,188","171,171","71,171",CH5248090000,0,"524,809",1,0,"36,115.000000000000000","36,116.000000000000000",0,10,"2,012","2,010",294962,1.000000000000000,"43,896","101,710","120,955","130,577","4,155.200292229999800","4,155.200292229999800","530,416.116439000000000"
177,216,"830,163","830,000","163,059","7,212","7,212","170,062","70,062",CH0053100000,"3,385","5,310",1,0,"1,883.000000000000000","1,896.000000000000000",0,90,"2,012","2,010",96345,1.000000000000000,"23,880","103,115","120,472","130,484","5,400.794959349999800","5,400.794959349999800","1,358,379.462619999900000"
178,401,"692,163","692,000","163,614","7,262","7,262","179,947","79,947",UR2108760000,0,"210,876",1,0,"15,172.000000000000000","15,173.000000000000000",0,30,"2,012","2,010",24699254,1.000000000000000,"78,679","108,056","120,804","130,593","5,135.439168490000200","5,135.439168490000200","1,229,493.873560000000000"
179,283,"686,163","686,000","163,547","7,288","7,288","154,375","54,375",CH0000380000,"149,026",38,1,0,"15,273.000000000000000","15,372.000000000000000",0,30,"2,012","2,010",24699711,1.000000000000000,"94,300","109,538","120,804","130,593","10,510.958437600000000","10,510.958437600000000","2,920,102.580399999900000"
180,299,"716,163","716,000","163,441","7,329","7,329","141,017","41,017",CH0000550000,"32,266",55,1,0,"6,273.000000000000000","6,274.000000000000000",0,60,"2,012","2,010",68699,1.000000000000000,"70,516","103,309","120,270","130,848","8,180.032306320000300","8,180.032306320000300","3,580,601.691660000000000"
181,82,"704,163","705,000","163,504","7,346","7,346","154,673","54,673",CH5236150000,0,"523,615",1,0,"36,780.000000000000000","36,781.000000000000000",0,10,"2,012","2,010",29874,1.000000000000000,"11,838","104,724","120,504","130,577","6,508.169579360000200","6,508.169579360000200","1,784,379.438219999900000"
182,103,"752,155","753,000","155,317","7,546","7,546","189,572","89,572",CH0003440000,"3,961",344,1,0,"34,850.000000000000000","35,067.000000000000000",0,10,"2,012","2,010",286191,1.000000000000000,"46,372","105,793","120,323","130,629","12,255.881666400001000","12,255.881666400001000","5,796,436.060850000000000"
183,193,"728,155","728,000","155,406","7,612","7,612","149,450","49,450",CH5245130000,0,"524,513",1,0,"35,967.000000000000000","35,968.000000000000000",0,10,"2,012","2,010",294684,1.000000000000000,"66,857","103,558","120,671","130,577","7,836.828020279999700","7,836.828020279999700","2,635,504.701270000100000"
184,344,"560,155","560,000","155,145","7,639","7,639","192,611","92,611",CH0031770000,0,"3,177",1,0,"20,589.000000000000000","20,594.000000000000000",0,20,"2,012","2,010",248828899421,1.000000000000000,"39,719","106,664","120,683","130,859","10,053.539817499999000","10,053.539817499999000","2,676,095.452779999900000"
185,222,"554,155","554,000","155,414","7,643","7,643","146,220","46,220",CH0002150000,"53,918",215,1,0,"20,567.000000000000000","20,636.000000000000000",0,20,"2,012","2,010",24882889913,1.000000000000000,"57,819","106,664","120,683","130,859","8,449.216340389999500","8,449.216340389999500","2,464,318.800150000000000"
186,92,"722,155","722,814","155,000","7,690","7,690","141,727","41,727",CH0003190000,"25,704",319,1,0,"35,990.000000000000000","36,001.000000000000000",0,10,"2,012","2,010",2946953,1.000000000000000,"99,079","106,449","120,671","130,577","8,516.566562550000500","8,516.566562550000500","3,506,142.732630000000000"
187,396,"680,155","681,000","155,317","7,709","7,709","157,225","57,225",CH0132100000,0,"13,210",1,0,"15,330.000000000000000","15,331.000000000000000",0,30,"2,012","2,010",2469988,1.000000000000000,"69,717","106,993","120,804","130,593","9,080.310499479999600","9,080.310499479999600","2,693,644.872419999900000"
188,426,"740,155","740,000","155,986","7,727","7,727","106,115","6,115",CH0002830000,"44,928",283,1,0,"35,179.000000000000000","35,312.000000000000000",0,10,"2,012","2,010",28795,1.000000000000000,"77,727","106,576","120,578","130,629","9,251.112847919999700","9,251.112847919999700","3,298,290.557519999800000"
189,77,"692,155","692,000","155,008","7,744","7,744","131,910","31,910",TI6130170000,0,"613,017",1,0,"6,683.000000000000000","6,684.000000000000000",0,60,"2,012","2,010",68964,1.000000000000000,"1,769","104,751","120,895","130,848","6,802.602144040000000","6,802.602144040000000","1,654,602.621469999900000"
190,162,"668,155","668,000","155,508","7,820","7,820","148,144","48,144",CH6651640000,0,"665,164",1,0,"43,375.000000000000000","43,376.000000000000000",0,50,"2,012","2,010",49978,1.000000000000000,"53,618","108,983","120,785","130,189","9,798.964512180000400","9,798.964512180000400","2,657,059.037190000100000"
