#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
6297	2011	740243	740973	244000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6309	2011	746227	746693	228000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6343	2011	752251	752000	251952	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
6017	2011	758195	759000	195385	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
6559	2011	776187	776000	187692	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6574	2011	794179	794532	180000	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6582	2011	806187	806000	187998	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
6421	2011	812171	812000	171836	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
6442	2011	818195	818000	195312	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6450	2011	824179	824000	179061	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6460	2011	830163	830000	163059	ADIGE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
6591	2011	830203	830646	204000	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
11011	2012	500139	500580	140000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	5		
11090	2012	554115	555000	115281	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	9		
11128	2012	554155	554000	155414	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
11161	2012	560139	561000	139917	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
11301	2012	578131	578000	131642	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
11328	2012	578171	578000	171052	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
11389	2012	584155	584589	155000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
11422	2012	584195	584645	196000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
11473	2012	590139	590044	140000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	10		
11503	2012	590179	590000	179245	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	9		
11555	2012	596123	597000	123965	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	10		
11578	2012	596163	596000	163384	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
11627	2012	608171	608000	171910	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
11753	2012	626123	626439	124000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
11813	2012	626203	626000	203746	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
11864	2012	626243	626950	244000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
11930	2012	638131	638594	132000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
11947	2012	638211	638000	211351	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
12014	2012	644195	644000	195089	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	5		
12148	2012	668251	669000	251847	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
12194	2012	674195	674000	195738	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	10		
12412	2012	698211	698000	211326	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
12447	2012	698251	698000	251112	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
12561	2012	710099	710000	99441	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	101		
12611	2012	710179	710000	179995	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
12639	2012	710219	710909	220000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
12704	2012	716083	716328	84000	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
12730	2012	716123	716000	123040	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
12774	2012	716243	716000	243957	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
12815	2012	722107	722921	107000	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	7		
12855	2012	722147	722000	147536	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
